Atom,CDD,Electrophilicity,Nucleophilicity,f+,f-,f0,q(N),q(N+1),q(N-1),s+,s+/s-,s-,s-/s+,s0,yield
2(C,0.0517,0.18358,0.12343,0.127,0.0753,0.1011,0.0348,-0.0922,0.11,0.3814,1.687,0.2261,0.5928,0.3038,55.0
9(C,0.0681,0.14581,0.11205,0.1161,0.0479,0.082,0.008,-0.1081,0.0559,0.3855,2.4213,0.1592,0.413,0.2724,95.0
7(C,-0.0312,0.06383,0.30641,0.0787,0.11,0.0944,-0.0181,-0.0969,0.0919,0.2395,0.7161,0.3344,1.3964,0.287,40.0
8(C,0.0521,-0.22249000000000002,0.25674,0.1285,0.0764,0.1024,0.0282,-0.1002,0.1046,-0.8133,1.682,-0.4835,0.5945,-0.6484,59.0
1(C,0.0052,0.08918999999999999,0.12022999999999999,0.0736,0.0684,0.071,0.0451,-0.0285,0.1135,0.2147,1.0766,0.1994,0.9289,0.2071,67.3
2(C,0.0549,0.1456,0.11475999999999999,0.1201,0.0652,0.0927,-0.037,-0.1571,0.0283,0.3505,1.8413,0.1904,0.5431,0.2704,6.7
10(C,0.0158,0.10577,0.203,0.0813,0.0655,0.0734,-0.0184,-0.0997,0.0472,0.3247,1.2414,0.2616,0.8055,0.2932,72.0
5(C,0.0756,0.12708,0.09149,0.1129,0.0373,0.0751,-0.0247,-0.1376,0.0126,0.3766,3.0256,0.1245,0.3305,0.2505,51.0
8(C,-0.0061,0.02365,0.06573999999999999,0.0208,0.0269,0.0238,0.0368,0.016,0.0637,0.0673,0.7735,0.087,1.2928,0.0772,26.0
5(C,-0.0084,0.01722,0.06677000000000001,0.0175,0.0259,0.0217,-0.0464,-0.0639,-0.0205,0.0569,0.6762,0.0842,1.4789,0.0706,83.0
6(S,-0.1188,0.11814000000000001,0.9027,0.1612,0.28,0.2206,-0.0312,-0.1924,0.2488,0.5006,0.5758,0.8694,1.7367,0.685,37.0
5(C,0.0023,0.09677000000000001,0.1171,0.0736,0.0713,0.0724,0.0235,-0.0501,0.0948,0.2154,1.0329,0.2085,0.9681,0.212,92.0
3(C,-0.0173,0.07357000000000001,0.11107,0.0504,0.0677,0.059,0.0286,-0.0218,0.0963,0.1598,0.745,0.2145,1.3423,0.1871,30.2
1(C,0.0362,0.10337,0.056760000000000005,0.0708,0.0346,0.0527,-0.0101,-0.081,0.0244,0.2245,2.0481,0.1096,0.4883,0.1671,9.1
5(C,0.045,0.1585,0.10438,0.1086,0.0636,0.0861,0.0306,-0.078,0.0942,0.3443,1.7078,0.2016,0.5855,0.2729,23.8
8(C,-0.0086,0.08764,0.24241999999999997,0.0952,0.1039,0.0995,0.063,-0.0322,0.1669,0.2781,0.9168,0.3033,1.0908,0.2907,44.0
8(C,-0.0053,0.06724,0.23831,0.0834,0.0887,0.0861,0.0556,-0.0278,0.1444,0.2486,0.94,0.2644,1.0639,0.2565,80.0
6(C,0.056,0.12009,0.23496,0.1393,0.0833,0.1113,0.059,-0.0803,0.1424,0.4453,1.6713,0.2665,0.5983,0.3559,87.0
8(C,0.0531,0.12616,0.23643000000000003,0.1413,0.0881,0.1147,0.0659,-0.0754,0.154,0.4431,1.6029,0.2764,0.6239,0.3597,90.0
8(C,0.0415,0.11072,0.19505,0.107,0.0655,0.0863,0.0587,-0.0484,0.1242,0.3846,1.634,0.2353,0.612,0.3099,45.0
10(S,-0.0078,0.14135,0.39164,0.1381,0.1459,0.142,-0.0017,-0.1398,0.1443,0.457,0.9467,0.4827,1.0563,0.4698,66.0
2(C,0.0143,0.11448,0.07406,0.0774,0.0632,0.0703,-0.0215,-0.0989,0.0417,0.2181,1.2261,0.1779,0.8156,0.198,10.0
3(C,0.0054,0.12036,0.08913,0.0814,0.076,0.0787,0.0328,-0.0487,0.1088,0.2293,1.0711,0.2141,0.9336,0.2217,64.0
7(C,-0.0782,0.0689,0.4482,0.0858,0.164,0.1249,-0.0099,-0.0957,0.1541,0.2539,0.5232,0.4854,1.9114,0.3697,99
2(C,-0.1011,0.03828,0.44233999999999996,0.0497,0.1508,0.1002,-0.0035,-0.0532,0.1472,0.1505,0.3296,0.4567,3.0343,0.3036,28.8
4(C,-0.1282,0.03952,0.5266,0.0513,0.1795,0.1154,-0.0371,-0.0884,0.1424,0.1554,0.2858,0.5437,3.4993,0.3495,19.2
4(C,-0.0561,0.13452,0.34023000000000003,0.1045,0.1606,0.1326,0.0077,-0.0967,0.1684,0.3266,0.6505,0.502,1.5374,0.4143,76.0
4(C,-0.0501,0.12921,0.27705,0.1019,0.152,0.1269,-0.0029,-0.1048,0.1491,0.3021,0.6704,0.4507,1.4917,0.3764,88.0
4(C,-0.0934,0.04981,0.35341999999999996,0.057,0.1503,0.1036,-0.0091,-0.0661,0.1412,0.1626,0.3789,0.4292,2.6389,0.2959,53.0
5(C,0.0498,0.11369000000000001,0.21036,0.1273,0.0775,0.1024,-0.0486,-0.1759,0.0289,0.381,1.643,0.2319,0.6087,0.3064,36.9
3(C,-0.0442,0.06373,0.31364000000000003,0.0714,0.1156,0.0935,-0.0087,-0.0801,0.1069,0.2136,0.6177,0.3457,1.6188,0.2796,4.1
2(C,-0.0707,0.05844,0.39338,0.0697,0.1403,0.105,-0.0024,-0.0721,0.1379,0.2119,0.4964,0.4269,2.0144,0.3194,45.0
8(C,-0.0634,0.02216,0.32453000000000004,0.0308,0.0942,0.0625,-0.0229,-0.0537,0.0713,0.1032,0.3269,0.3157,3.0586,0.2095,68.0
8(C,-0.028,0.04584,0.30293000000000003,0.0629,0.0909,0.0769,-0.0118,-0.0747,0.0791,0.209,0.6919,0.302,1.4453,0.2555,65.0
7(C,-0.0287,0.07332999999999999,0.30771,0.0741,0.1028,0.0884,-0.0571,-0.1312,0.0457,0.2548,0.7205,0.3536,1.3879,0.3042,50.0
9(C,-0.109,0.0468,0.35009,0.0363,0.1453,0.0908,-0.0242,-0.0605,0.1212,0.1234,0.25,0.4937,4.0007,0.3086,77.0
8(C,-0.0005,0.09775,0.31237,0.1085,0.109,0.1087,-0.0079,-0.1164,0.101,0.3508,0.9955,0.3524,1.0046,0.3516,39.0
1(C,-0.0556,0.025509999999999998,0.29716,0.0348,0.0904,0.0626,-0.0591,-0.0939,0.0313,0.1129,0.3845,0.2937,2.6007,0.2033,50.0
4(C,-0.0198,0.03271,0.18014000000000002,0.041,0.0609,0.051,-0.075,-0.116,-0.0141,0.1304,0.674,0.1934,1.4836,0.1619,66.0
1(C,-0.0032,0.058879999999999995,0.21838000000000002,0.0699,0.0731,0.0715,-0.0571,-0.1269,0.016,0.2262,0.9559,0.2366,1.0462,0.2314,92.0
7(C,-0.0578,0.0652,0.37551999999999996,0.062,0.1197,0.0908,-0.0252,-0.0872,0.0945,0.223,0.5175,0.4309,1.9322,0.3269,47.0
9(C,-0.0883,0.03914,0.35515,0.0375,0.1258,0.0817,-0.0253,-0.0628,0.1005,0.1273,0.2981,0.4272,3.3548,0.2773,63.0
4(C,0.0392,0.1318,0.21566,0.1137,0.0745,0.0941,0.0262,-0.0875,0.1007,0.4033,1.5257,0.2644,0.6554,0.3338,35.0
2(C,0.0065,0.10119,0.23376,0.0873,0.0807,0.084,-0.0301,-0.1174,0.0506,0.3097,1.0807,0.2865,0.9253,0.2981,7.0
2(C,-0.0198,0.0564,0.15403,0.046,0.0658,0.0559,0.0181,-0.028,0.0839,0.1524,0.6992,0.2179,1.4302,0.1852,80.0
8(C,0.0531,0.12616,0.23643000000000003,0.1413,0.0881,0.1147,0.0659,-0.0754,0.154,0.4431,1.6029,0.2764,0.6239,0.3597,65.0
8(C,0.056,0.12009,0.23495,0.1393,0.0833,0.1113,0.059,-0.0803,0.1424,0.4454,1.6714,0.2665,0.5983,0.3559,75.0
8(C,0.0414,0.09633,0.18487,0.1072,0.0658,0.0865,0.0588,-0.0484,0.1247,0.3594,1.6294,0.2205,0.6137,0.29,82.0
4(C,-0.0721,0.047510000000000004,0.44045,0.0605,0.1326,0.0966,-0.0422,-0.1027,0.0904,0.2061,0.4563,0.4517,2.1915,0.3289,63.0
5(C,-0.081,0.09462000000000001,0.26250999999999997,0.0703,0.1514,0.1109,-0.0694,-0.1398,0.0819,0.2141,0.4647,0.4608,2.1521,0.3375,51.0
8(C,0.0666,0.14453,0.11522,0.1163,0.0497,0.083,0.0209,-0.0954,0.0706,0.3835,2.3403,0.1639,0.4273,0.2737,62.0
7(C,-0.0938,0.019180000000000003,0.43499,0.0289,0.1226,0.0757,-0.0986,-0.1274,0.0241,0.0954,0.2353,0.4055,4.2507,0.2505,62.0
6(C,-0.0926,0.08842,0.31745999999999996,0.0822,0.1748,0.1285,-0.077,-0.1593,0.0977,0.2292,0.4704,0.4873,2.1257,0.3583,35.0
